"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | BMW | Jaguar | Mercedes-Benz | Porsche | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD381D750"
"ColumnCount:",13
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, BMW, All Models, All Vehicle Years, #","All Types, Jaguar, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Porsche, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Jaguar, All Models, All Vehicle Years, #","Automobiles, Mercedes-Benz, All Models, All Vehicle Years, #","Automobiles, Porsche, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #"
"01/1975",7606,,,,10,7446,,,,10,,
"02/1975",7018,,,,12,6920,,,,12,,
"03/1975",8156,,,,16,8002,,,,16,,
"04/1975",8144,,,,22,7952,,,,22,,
"05/1975",9964,,,,16,9682,,,,16,,
"06/1975",10114,,,,10,9830,,,,10,,
"07/1975",10462,,,,16,10188,,,,16,,
"08/1975",10742,,,,28,10450,,,,26,,
"09/1975",9750,,,,4,9490,,,,4,,
"10/1975",9916,,,,10,9614,,,,10,,
"11/1975",9722,,,,20,9470,,,,20,,
"12/1975",9468,,,,14,9264,,,,14,,
"01/1976",7498,,,,10,7342,,,,10,,
"02/1976",7402,,,,16,7248,,,,16,,
"03/1976",7868,,,,14,7698,,,,14,,
"04/1976",8682,,,,12,8464,,,,12,,
"05/1976",10150,,,,10,9930,,,,10,,
"06/1976",9750,,,,18,9494,,,,18,,
"07/1976",11222,,,,8,10956,,,,8,,
"08/1976",10714,,,,16,10506,,,,16,,
"09/1976",9900,,,,8,9736,,,,8,,
"10/1976",10506,,,,18,10282,,,,18,,
"11/1976",8676,,,,12,8512,,,,12,,
"12/1976",9800,,,,12,9668,,,,12,,
"01/1977",7026,4,,,12,6916,,,,12,,
"02/1977",7342,4,,,14,7202,4,,,14,,
"03/1977",8820,20,,,22,8658,20,,,20,,
"04/1977",9358,14,,,12,9216,14,,,12,,
"05/1977",10172,26,,,18,10022,26,,,18,,
"06/1977",10940,14,,,14,10702,14,,,14,,
"07/1977",12304,18,,,20,12008,18,,,20,,
"08/1977",11718,34,,,18,11528,34,,,18,,
"09/1977",10670,24,,,8,10430,24,,,8,,
"10/1977",11464,34,,,18,11248,32,,,18,,
"11/1977",10518,18,,,16,10346,18,,,16,,
"12/1977",10698,16,,,18,10556,14,,,18,,
"01/1978",7140,12,,12,8,7010,12,,10,8,,
"02/1978",6914,8,,14,12,6748,8,,14,12,,
"03/1978",9068,12,,12,12,8936,12,,12,12,,
"04/1978",9946,16,,12,22,9788,16,,12,22,,
"05/1978",11122,18,,26,16,10908,18,,26,16,,
"06/1978",11918,18,,16,22,11664,18,,16,22,,
"07/1978",12576,16,,22,34,12250,16,,22,34,,
"08/1978",12632,24,,18,26,12404,24,,18,26,,
"09/1978",12204,20,,18,22,11972,20,,18,22,,
"10/1978",12038,32,,20,20,11788,32,,20,20,,
"11/1978",11308,18,,36,34,11140,18,,34,34,,
"12/1978",11422,16,,22,18,11214,16,,22,18,,
"01/1979",8192,8,,22,20,8080,8,,22,20,,
"02/1979",8318,12,,16,14,8194,12,,16,14,,
"03/1979",10402,12,,18,12,10254,12,,18,12,,
"04/1979",10404,18,,16,14,10258,18,,16,14,,
"05/1979",10982,18,,20,6,10802,18,,20,6,,
"06/1979",11226,32,,16,16,10968,32,,16,16,,
"07/1979",11802,24,,22,12,11596,24,,22,12,,
"08/1979",11882,24,,28,16,11716,24,,28,16,,
"09/1979",11684,26,,26,20,11556,26,,26,20,,
"10/1979",11750,18,,22,16,11590,18,,22,16,,
"11/1979",11124,12,,26,18,10958,12,,26,18,,
"12/1979",11758,34,,24,22,11632,34,,24,22,,
"01/1980",8668,16,4,32,16,8600,16,4,32,16,,
"02/1980",8194,6,,16,10,8126,6,,16,10,,
"03/1980",9070,20,2,16,16,8994,20,2,16,16,,
"04/1980",9452,10,4,24,24,9358,10,4,24,24,,
"05/1980",11248,30,4,28,22,11146,30,4,26,22,,
"06/1980",11972,38,,34,14,11860,38,,34,14,,
"07/1980",11902,30,6,24,26,11788,30,6,24,26,,
"08/1980",13202,42,2,38,16,13070,42,2,38,16,,
"09/1980",11112,32,,26,16,11004,32,,26,16,,
"10/1980",10898,22,6,34,16,10790,22,6,34,16,,
"11/1980",10608,20,4,20,20,10534,20,4,20,20,,
"12/1980",10644,20,,26,6,10586,20,,26,6,,
"01/1981",9080,30,4,22,10,8888,30,4,22,10,,
"02/1981",8682,30,2,12,8,8556,30,2,12,8,,
"03/1981",9312,14,4,10,14,9174,12,4,10,14,,
"04/1981",9872,14,2,24,8,9708,12,2,24,8,,
"05/1981",10690,12,2,40,18,10528,12,2,40,18,,
"06/1981",11108,38,4,16,14,10904,38,4,16,14,,
"07/1981",11952,36,6,12,14,11728,36,6,12,14,,
"08/1981",12442,28,2,30,14,12218,26,2,30,14,,
"09/1981",10852,24,2,18,20,10660,24,2,18,20,,
"10/1981",10900,22,,28,20,10734,22,,28,20,,
"11/1981",10162,16,2,18,22,10008,16,2,18,22,,
"12/1981",10346,22,,36,10,10222,22,,36,10,,
"01/1982",7652,14,2,16,12,7542,14,2,14,12,,
"02/1982",7282,18,2,10,14,7202,18,2,10,14,,
"03/1982",8612,24,6,14,4,8514,24,6,14,4,,
"04/1982",9158,28,2,16,16,9080,28,2,16,16,,
"05/1982",9886,20,2,22,24,9776,20,2,22,24,,
"06/1982",9872,30,,28,14,9750,30,,28,14,,
"07/1982",10698,46,6,22,12,10532,46,6,22,12,,
"08/1982",10696,24,,18,12,10554,24,,18,12,,
"09/1982",10006,34,4,24,18,9892,34,4,24,18,,
"10/1982",10364,26,2,10,10,10242,26,2,10,10,,
"11/1982",9114,18,4,30,8,9006,18,4,30,8,,
"12/1982",9570,28,2,22,18,9454,28,2,22,18,,
"01/1983",7440,16,4,18,8,7346,16,4,18,8,,
"02/1983",7056,18,,16,2,6966,18,,16,2,,
"03/1983",7848,30,2,36,8,7758,30,2,36,8,,
"04/1983",8428,24,2,20,12,8304,24,2,20,12,,
"05/1983",9382,24,,26,8,9282,24,,26,8,,
"06/1983",9546,28,,26,22,9460,28,,26,22,,
"07/1983",10548,32,2,34,16,10380,32,2,34,16,,
"08/1983",10620,22,4,20,16,10498,22,4,20,16,,
"09/1983",10282,26,6,28,20,10140,26,6,28,20,,
"10/1983",10244,18,4,32,20,10106,18,4,32,20,,
"11/1983",9386,16,2,30,12,9262,16,2,30,12,,
"12/1983",9432,12,8,20,16,9314,12,8,20,16,,
"01/1984",7586,14,8,20,12,7498,14,8,20,12,,
"02/1984",7416,18,,14,12,7362,18,,14,12,,
"03/1984",8610,22,4,26,8,8544,22,4,26,8,,
"04/1984",8470,22,2,32,8,8398,22,2,32,8,,
"05/1984",9878,30,2,30,32,9784,30,2,30,32,,
"06/1984",10776,28,6,30,14,10706,28,6,30,14,,
"07/1984",10972,28,2,28,18,10892,28,2,28,18,,
"08/1984",11124,26,4,14,14,11010,26,4,14,14,,
"09/1984",10718,34,10,12,24,10622,34,10,12,24,,
"10/1984",10576,24,4,30,16,10494,24,4,30,16,,
"11/1984",9834,30,4,10,18,9736,30,4,10,18,,
"12/1984",9984,10,,18,18,9882,10,,18,18,,
"01/1985",8092,20,2,24,12,8026,20,2,24,12,,
"02/1985",7320,24,4,16,8,7242,24,4,16,8,,
"03/1985",8614,18,8,28,10,8540,18,8,28,10,,
"04/1985",9220,32,,18,16,9154,32,,18,16,,
"05/1985",10412,26,10,22,16,10356,26,10,22,16,,
"06/1985",10958,32,2,32,2,10888,32,2,30,2,,
"07/1985",10780,28,10,34,18,10694,28,10,34,18,,
"08/1985",11314,38,2,30,26,11220,38,2,30,26,,
"09/1985",10068,22,8,24,18,9992,22,8,24,18,,
"10/1985",10240,44,,30,22,10150,44,,30,22,,
"11/1985",10158,28,,16,16,10056,28,,16,16,,
"12/1985",9366,24,,20,10,9262,24,,20,10,,
"01/1986",8254,22,2,20,8,8170,22,2,18,8,,
"02/1986",7296,20,2,26,14,7248,20,2,26,14,,
"03/1986",8990,16,4,20,12,8918,16,4,20,12,,
"04/1986",9142,34,2,42,14,9078,34,2,42,14,,
"05/1986",10806,42,2,26,16,10694,42,2,24,16,,
"06/1986",11232,28,10,26,14,11122,28,10,26,14,,
"07/1986",11542,38,,22,12,11458,38,,20,12,,
"08/1986",12368,20,6,34,18,12272,20,6,34,18,,
"09/1986",10596,34,4,18,6,10512,34,4,12,6,,
"10/1986",10922,32,2,42,24,10842,32,2,42,24,,
"11/1986",10300,34,6,20,22,10222,34,6,20,22,,
"12/1986",10136,20,2,26,16,10060,20,2,24,16,,
"01/1987",8314,34,2,32,10,8236,34,2,32,10,,
"02/1987",7734,20,2,28,4,7684,20,2,28,4,,
"03/1987",8892,20,6,26,16,8844,20,6,26,16,,
"04/1987",9278,32,2,32,14,9214,32,2,32,14,,
"05/1987",10670,40,6,32,12,10588,40,6,32,12,,
"06/1987",11024,36,2,28,22,10944,36,2,28,22,,
"07/1987",11324,26,2,40,14,11252,26,2,40,14,,
"08/1987",12316,42,14,28,22,12228,42,14,28,22,,
"09/1987",10970,48,2,26,10,10896,48,2,26,10,,
"10/1987",11780,38,6,20,16,11690,38,6,20,16,,
"11/1987",10692,46,,48,22,10614,46,,48,22,,
"12/1987",10678,28,8,28,28,10590,28,8,28,28,,
"01/1988",8550,28,6,36,14,8470,28,6,36,14,,
"02/1988",8082,34,,22,10,8028,34,,22,10,,
"03/1988",9260,42,8,34,22,9224,42,8,34,22,,
"04/1988",9808,38,12,36,8,9772,38,12,36,8,,
"05/1988",10644,38,4,28,18,10592,38,4,28,18,,
"06/1988",11136,48,2,38,10,11100,48,2,38,10,,
"07/1988",11648,40,4,48,12,11574,40,4,48,12,,
"08/1988",11734,52,2,42,12,11682,52,2,42,12,,
"09/1988",11228,34,4,18,12,11142,34,4,18,12,,
"10/1988",11568,34,,44,22,11502,34,,42,22,,
"11/1988",10454,40,8,44,20,10410,40,8,44,20,,
"12/1988",11294,50,8,44,20,11232,50,8,44,20,,
"01/1989",9020,26,6,18,8,8942,26,6,18,8,,
"02/1989",7982,20,6,32,10,7934,20,6,32,10,,
"03/1989",9470,28,4,24,12,9420,28,4,24,12,,
"04/1989",9576,40,,22,10,9538,40,,22,10,,
"05/1989",10170,50,2,16,20,10118,50,2,16,20,,
"06/1989",10364,40,8,28,12,10282,40,8,28,12,,
"07/1989",11218,48,4,34,10,11152,48,4,34,10,,
"08/1989",11042,26,2,38,10,10974,26,2,36,10,,
"09/1989",10886,46,,28,10,10816,46,,28,10,,
"10/1989",11154,18,6,44,12,11074,18,6,44,12,,
"11/1989",9886,34,4,18,6,9798,34,4,18,6,,
"12/1989",10972,44,8,34,14,10892,44,8,34,14,,
"01/1990",8770,26,4,30,,8698,26,4,30,,,
"02/1990",7910,24,,22,8,7858,24,,22,8,,
"03/1990",9364,26,10,28,12,9306,26,10,28,12,,
"04/1990",9296,20,2,24,16,9238,20,2,24,16,,
"05/1990",10112,54,10,30,6,10040,54,10,30,6,,
"06/1990",10726,34,8,30,14,10678,34,8,30,14,,
"07/1990",11324,66,6,36,10,11234,66,6,36,10,,
"08/1990",11130,34,8,26,4,11068,34,8,26,4,,
"09/1990",10544,40,6,28,18,10472,40,6,28,18,,
"10/1990",10176,34,,32,18,10118,34,,32,18,,
"11/1990",9656,42,2,32,16,9602,42,2,32,16,,
"12/1990",9576,48,14,32,6,9510,48,14,32,6,,
"01/1991",7338,28,4,22,8,4308,28,4,22,8,72,
"02/1991",7294,38,10,26,6,4318,36,10,26,6,90,
"03/1991",8494,26,2,30,6,5128,24,2,30,6,138,2
"04/1991",8142,24,2,18,2,4716,24,2,18,2,226,
"05/1991",9586,36,,24,10,5446,32,,16,10,428,2
"06/1991",10136,32,4,18,10,5562,30,4,18,10,444,
"07/1991",10310,40,6,22,16,5552,34,6,22,16,510,2
"08/1991",10732,30,6,26,16,5924,24,6,26,16,514,4
"09/1991",9620,38,4,30,4,5410,30,4,28,4,386,8
"10/1991",9762,40,2,24,8,5500,34,2,14,8,284,2
"11/1991",9472,30,10,28,2,5630,30,10,26,2,162,
"12/1991",8704,32,,24,6,5268,28,,24,6,106,2
"01/1992",7598,24,2,36,8,4496,24,2,34,8,116,
"02/1992",7178,38,2,16,4,4280,34,2,12,4,122,4
"03/1992",7432,12,2,38,2,4420,12,2,38,2,208,
"04/1992",7762,26,,16,6,4388,22,,16,6,312,4
"05/1992",9096,46,12,28,10,5158,36,12,24,10,484,2
"06/1992",9510,48,4,12,6,5228,40,4,8,6,504,6
"07/1992",9340,32,2,24,6,5128,26,2,20,6,410,
"08/1992",9832,44,8,36,6,5462,28,8,36,6,498,6
"09/1992",8694,30,4,30,10,4704,24,4,30,10,386,6
"10/1992",10104,28,4,22,12,5788,26,4,22,12,306,
"11/1992",8796,18,10,18,10,5238,16,10,16,10,192,
"12/1992",9112,46,6,28,6,5434,42,6,22,6,96,
"01/1993",7498,40,4,18,12,4410,40,4,16,12,134,
"02/1993",6994,18,4,26,6,4148,18,4,22,6,142,
"03/1993",7946,30,,24,12,4578,28,,22,12,234,2
"04/1993",8102,26,2,26,2,4578,24,2,26,2,430,2
"05/1993",9308,34,,36,8,5188,32,,34,8,606,2
"06/1993",9070,66,2,32,14,4946,54,2,32,14,560,12
"07/1993",10202,36,6,28,4,5494,30,6,24,4,736,6
"08/1993",10268,36,2,24,12,5412,28,2,22,12,726,8
"09/1993",9548,38,4,22,14,5122,30,4,20,14,616,8
"10/1993",10300,44,10,38,8,5994,36,10,38,8,418,8
"11/1993",9292,46,,16,6,5308,44,,16,6,212,2
"12/1993",9026,30,,24,12,5338,30,,22,12,130,
"01/1994",7634,26,4,20,14,4264,26,4,18,14,132,
"02/1994",7102,26,2,26,6,3926,22,2,26,6,156,4
"03/1994",8116,36,6,10,14,4602,34,6,10,14,288,2
"04/1994",8720,22,,28,6,4838,20,,28,6,416,2
"05/1994",9298,36,6,30,8,5078,34,6,28,8,578,2
"06/1994",9214,36,4,22,10,4906,32,4,16,10,548,4
"07/1994",10052,48,6,30,4,5336,32,6,28,4,700,16
"08/1994",10228,44,12,18,4,5484,34,12,16,4,588,10
"09/1994",9624,48,10,16,2,5208,34,10,14,2,504,14
"10/1994",10372,38,,36,12,5692,32,,34,12,440,6
"11/1994",9506,22,8,20,12,5364,20,8,20,12,186,2
"12/1994",9956,42,2,22,6,5850,40,2,22,6,144,2
"01/1995",8298,38,8,36,4,4634,32,8,34,4,110,4
"02/1995",7494,18,4,30,8,4358,16,4,30,8,142,2
"03/1995",8682,34,2,22,4,4846,30,2,22,4,250,4
"04/1995",8582,36,2,30,6,4840,34,2,30,6,366,2
"05/1995",9058,36,,22,14,4932,36,,22,14,528,
"06/1995",9842,50,2,28,8,5206,44,2,26,8,586,6
"07/1995",10122,44,2,22,10,5360,34,2,22,10,618,10
"08/1995",10852,52,8,34,10,5728,44,8,34,10,648,6
"09/1995",10194,26,10,44,14,5498,20,10,42,14,504,6
"10/1995",10590,36,4,34,14,5672,30,4,34,14,440,6
"11/1995",9630,32,6,42,4,5360,32,6,38,4,190,
"12/1995",9704,48,2,34,2,5450,46,2,34,2,150,2
"01/1996",8414,40,2,24,8,4452,36,2,22,8,152,4
"02/1996",8074,36,,22,4,4400,30,,22,4,162,6
"03/1996",8764,24,2,26,2,4814,24,2,26,2,212,
"04/1996",8952,36,4,24,6,4986,30,4,24,6,370,6
"05/1996",9318,34,2,18,4,4938,30,2,18,4,490,4
"06/1996",10228,50,2,36,4,5194,44,2,32,4,674,6
"07/1996",9590,42,8,14,16,4998,38,8,12,16,514,4
"08/1996",10570,32,2,30,6,5374,24,2,28,6,628,8
"09/1996",9874,34,4,20,2,5284,28,4,20,2,494,6
"10/1996",10606,48,2,24,8,5732,38,2,24,8,386,10
"11/1996",10102,42,4,30,6,5590,40,4,30,6,144,2
"12/1996",10202,36,4,22,,5732,36,4,22,,118,
"01/1997",8752,56,8,12,2,4830,56,8,10,2,104,
"02/1997",7720,26,8,34,6,4186,20,8,34,6,164,6
"03/1997",8576,34,2,20,2,4632,26,2,20,2,268,8
"04/1997",8734,36,8,26,2,4652,32,8,26,2,326,2
"05/1997",10174,34,18,42,6,5328,32,18,42,6,484,2
