"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"06/1997",9908,34,2,24,2,5036,22,2,22,2,604,12
"07/1997",10252,36,2,26,14,5244,32,2,24,14,582,4
"08/1997",10578,38,12,24,8,5394,34,12,22,8,574,4
"09/1997",9432,30,8,26,2,4762,24,8,26,2,464,6
"10/1997",10318,48,8,38,10,5388,42,8,38,10,430,6
"11/1997",9600,42,10,34,4,5132,42,10,34,4,182,
"12/1997",10076,36,4,36,2,5544,36,4,36,2,126,
"01/1998",8510,44,,22,4,4514,42,,22,4,124,2
"02/1998",7700,32,2,28,6,4194,30,2,26,6,146,2
"03/1998",8508,36,4,30,6,4478,26,4,30,6,216,10
"04/1998",8524,38,16,28,4,4446,36,16,26,4,354,2
"05/1998",9540,42,10,30,,4798,34,10,28,,558,8
"06/1998",9544,24,2,32,4,4680,20,2,32,4,508,4
"07/1998",10430,52,,36,4,5144,44,,34,4,714,8
"08/1998",10946,42,2,38,6,5358,30,2,36,6,668,12
"09/1998",9826,38,4,28,6,4848,36,4,28,6,538,2
"10/1998",10144,48,10,46,10,5192,42,10,46,10,430,6
"11/1998",9662,42,,40,2,5046,40,,38,2,242,2
"12/1998",10510,40,6,34,10,5402,34,6,34,10,162,6
"01/1999",7834,30,2,20,2,4024,30,2,18,2,114,
"02/1999",7424,38,2,32,,3828,34,2,32,,180,4
"03/1999",8686,26,6,10,4,4464,26,6,10,4,278,
"04/1999",8588,38,10,18,6,4252,28,10,14,6,428,10
"05/1999",9988,34,10,22,2,4928,32,10,20,2,562,2
"06/1999",9636,32,6,34,2,4652,24,6,28,2,626,8
"07/1999",10288,48,6,18,6,4766,44,6,18,6,706,4
"08/1999",10722,52,10,22,10,4992,44,10,22,10,700,8
"09/1999",10050,46,2,22,4,4728,42,2,20,4,582,4
"10/1999",10564,60,8,28,10,5126,50,8,28,10,468,10
"11/1999",9876,46,12,32,8,5052,44,12,32,8,270,2
"12/1999",9984,52,4,28,8,5236,50,4,24,8,136,2
"01/2000",4402,19,3,19,3,2129,18,3,17,3,80,1
"02/2000",3904,16,1,11,1,1930,16,1,10,1,90,
"03/2000",4369,14,2,14,2,2119,11,2,13,2,199,3
"04/2000",4639,24,1,20,,2332,20,1,18,,248,4
"05/2000",4863,19,2,23,3,2295,17,2,20,3,329,2
"06/2000",5027,25,3,19,1,2319,22,3,19,1,400,3
"07/2000",5344,17,3,11,4,2522,17,3,10,4,401,
"08/2000",5289,25,6,21,2,2427,21,6,21,2,428,4
"09/2000",5137,23,5,16,3,2424,17,5,16,3,347,6
"10/2000",5178,21,5,9,5,2540,19,5,7,5,251,2
"11/2000",4625,25,3,16,2,2362,22,3,14,2,119,1
"12/2000",4817,25,3,21,6,2378,22,3,19,6,82,3
"01/2001",4117,19,4,14,5,2067,17,4,11,5,73,2
"02/2001",3956,24,4,14,2,1975,24,4,9,2,97,
"03/2001",4311,24,3,13,2,2131,20,3,13,2,156,4
"04/2001",4526,19,2,18,5,2194,16,2,16,5,308,3
"05/2001",5028,20,3,14,3,2306,14,3,11,3,357,4
"06/2001",4873,23,,22,2,2246,19,,22,2,402,4
"07/2001",5229,24,5,19,2,2398,17,5,17,2,441,7
"08/2001",5373,20,5,13,1,2471,15,5,12,1,425,4
"09/2001",4930,20,1,20,1,2275,16,1,18,1,388,4
"10/2001",5304,27,2,22,2,2524,22,2,18,2,271,5
"11/2001",5104,24,2,20,2,2440,22,2,18,2,200,2
"12/2001",5167,27,4,22,,2561,22,4,17,,142,4
"01/2002",4567,20,8,15,7,2256,16,8,13,7,102,2
"02/2002",4034,24,3,14,4,1974,22,3,13,4,127,2
"03/2002",4727,20,1,15,2,2284,19,1,11,2,184,1
"04/2002",4455,24,3,15,2,2142,18,3,14,2,259,4
"05/2002",5008,22,5,17,5,2317,16,5,14,5,374,5
"06/2002",5155,21,3,19,4,2291,16,3,16,4,451,4
"07/2002",5262,29,5,26,1,2369,23,5,24,1,431,6
"08/2002",5314,22,1,18,9,2310,19,1,14,9,482,2
"09/2002",5109,28,5,17,3,2330,24,5,13,3,431,4
"10/2002",5154,28,5,15,1,2406,24,5,12,1,249,1
"11/2002",4796,19,1,21,2,2313,17,1,15,2,178,1
"12/2002",4845,21,6,21,1,2383,20,6,18,1,93,1
"01/2003",4167,18,7,16,5,1947,18,7,12,5,85,
"02/2003",3809,9,1,15,,1778,7,1,12,,98,
"03/2003",4370,22,8,14,3,2042,19,8,14,3,216,3
"04/2003",4812,23,2,16,3,2194,16,2,14,3,376,7
"05/2003",4924,25,4,21,1,2250,23,4,19,1,373,2
"06/2003",5126,23,3,16,,2253,21,3,14,,460,1
"07/2003",5373,30,5,20,1,2276,21,5,20,1,509,8
"08/2003",5574,36,4,24,5,2390,31,4,22,5,536,4
"09/2003",5070,27,2,25,6,2222,22,2,20,6,472,4
"10/2003",5482,32,7,27,2,2460,25,7,27,2,351,4
"11/2003",5279,28,12,18,3,2522,27,12,15,3,198,1
"12/2003",4891,24,6,19,1,2236,22,6,17,1,128,2
"01/2004",4505,16,7,20,,2075,15,7,17,,125,1
"02/2004",4055,24,1,26,3,1929,23,1,23,3,145,1
"03/2004",4449,19,1,20,1,2033,16,1,18,1,270,1
"04/2004",4683,25,4,19,4,2086,20,4,17,4,366,5
"05/2004",5152,25,4,23,5,2203,23,4,21,4,469,1
"06/2004",5145,22,3,23,1,2131,17,3,20,1,480,3
"07/2004",5294,32,2,17,2,2182,25,2,15,2,576,7
"08/2004",5419,30,7,23,2,2199,24,7,22,2,549,6
"09/2004",4910,23,9,15,4,2032,13,9,14,4,464,8
"10/2004",5231,23,6,26,1,2283,19,6,24,1,349,3
"11/2004",4849,24,7,15,1,2224,21,7,15,1,191,2
"12/2004",5037,11,4,19,2,2311,9,4,17,2,136,1
"01/2005",4298,16,7,22,2,1968,14,7,19,2,148,1
"02/2005",4011,22,3,16,2,1812,19,3,12,1,130,1
"03/2005",4411,21,1,13,3,1959,18,1,13,3,239,3
"04/2005",4914,28,6,20,6,2054,24,6,14,6,446,2
"05/2005",5019,40,4,16,5,2084,27,4,16,5,487,10
"06/2005",5186,23,4,24,2,2086,18,4,19,1,527,4
"07/2005",5683,31,6,25,3,2285,25,6,21,3,622,3
"08/2005",5282,31,5,22,3,2171,23,5,20,3,579,5
"09/2005",5081,39,6,15,2,2034,25,6,12,2,609,14
"10/2005",5504,28,4,24,2,2314,22,4,19,2,458,5
"11/2005",5212,38,10,24,4,2266,33,10,22,4,291,4
"12/2005",4894,27,3,14,5,2141,24,3,13,5,146,2
"01/2006",4411,32,7,23,2,1960,30,7,21,2,191,1
"02/2006",4047,17,1,20,1,1778,15,1,18,1,161,1
"03/2006",4612,32,4,20,3,1999,27,4,18,3,297,2
"04/2006",4658,22,6,16,5,1906,15,6,15,5,493,5
"05/2006",5117,43,4,31,4,2116,33,4,28,3,575,8
"06/2006",5120,21,6,25,5,1994,15,6,20,4,589,6
"07/2006",5236,35,5,26,2,2066,23,5,22,1,652,9
"08/2006",5153,19,5,26,4,2064,16,5,25,3,613,2
"09/2006",4956,26,4,30,3,1997,19,4,25,2,555,6
"10/2006",5235,38,3,31,8,2211,36,3,30,6,360,2
"11/2006",4793,30,8,32,3,2038,27,8,29,2,300,2
"12/2006",4756,33,4,28,3,2134,30,4,21,2,176,1
"01/2007",4060,29,4,12,1,1791,24,4,11,1,138,2
"02/2007",3968,24,5,31,8,1730,21,5,26,5,151,2
"03/2007",4746,24,4,21,6,1927,18,4,18,5,392,2
"04/2007",4614,34,3,18,4,1960,28,3,14,4,438,3
"05/2007",4899,27,7,28,1,1923,21,7,20,1,646,3
"06/2007",4961,30,9,24,2,1939,23,9,21,,626,5
"07/2007",5123,27,4,26,4,1933,17,4,24,4,686,9
"08/2007",5029,32,7,18,5,1909,25,7,14,2,660,6
"09/2007",4753,34,3,23,3,1808,20,3,21,3,635,11
"10/2007",4961,33,6,28,2,2022,27,6,23,2,489,3
"11/2007",4640,35,7,33,4,1981,28,7,31,4,268,3
"12/2007",4499,25,6,28,2,1940,23,6,23,1,176,2
"01/2008",3916,26,6,22,1,1786,22,6,21,1,148,1
"02/2008",3929,23,3,19,2,1714,19,3,15,2,193,
"03/2008",3834,25,1,19,5,1661,22,1,15,5,294,1
"04/2008",4021,32,5,23,,1569,26,5,16,,501,4
"05/2008",4329,26,7,16,2,1679,16,7,16,2,613,8
"06/2008",4487,28,6,24,5,1682,20,6,23,4,698,5
"07/2008",4422,21,5,20,,1638,17,5,20,,717,2
"08/2008",4663,33,4,20,,1758,27,4,18,,745,6
"09/2008",4185,40,3,18,3,1562,31,3,11,2,574,7
"10/2008",4512,31,6,21,2,1871,23,6,19,2,483,3
"11/2008",4151,34,10,16,2,1781,28,10,14,1,278,2
"12/2008",4211,32,6,21,2,1780,31,6,18,2,165,1
"01/2009",3565,33,3,12,1,1528,24,3,7,1,144,5
"02/2009",3171,23,,20,1,1397,19,,19,1,209,3
"03/2009",3459,26,6,17,3,1418,21,6,16,3,273,3
"04/2009",3930,35,3,22,,1558,29,3,17,,465,4
"05/2009",4100,34,8,19,3,1616,27,8,18,3,582,5
"06/2009",4013,25,4,22,6,1541,18,4,20,5,551,2
"07/2009",4083,27,2,13,2,1470,19,2,11,2,592,4
"08/2009",4196,28,2,18,2,1617,22,2,15,1,581,3
"09/2009",3869,31,3,22,4,1538,23,3,17,4,511,6
"10/2009",3857,20,2,25,1,1615,17,2,21,1,308,2
"11/2009",3720,21,4,27,1,1593,18,4,23,1,283,2
"12/2009",3577,27,5,20,3,1523,22,5,17,3,103,1
"01/2010",3107,26,4,18,,1371,25,4,14,,125,
"02/2010",2801,22,3,14,,1211,17,3,10,,110,4
"03/2010",3336,19,4,14,1,1434,17,4,13,1,265,
"04/2010",3804,42,5,26,2,1542,32,5,22,1,468,6
"05/2010",3956,27,2,12,,1540,23,2,8,,551,3
"06/2010",3821,20,1,14,,1390,14,1,10,,587,4
"07/2010",4200,45,4,20,1,1525,28,4,16,1,619,12
"08/2010",4183,32,3,17,1,1522,23,3,13,1,629,8
"09/2010",4094,29,4,31,3,1529,21,4,26,2,526,7
"10/2010",4136,35,3,21,2,1655,26,3,19,2,442,5
"11/2010",3854,25,6,21,1,1578,20,6,14,,214,3
"12/2010",3570,21,3,21,1,1511,14,3,17,1,115,2
"01/2011",3076,27,4,24,1,1345,24,4,19,,153,2
"02/2011",2868,22,2,20,,1167,17,2,16,,182,4
"03/2011",3311,28,3,20,1,1341,24,3,14,1,267,3
"04/2011",3508,28,2,22,2,1433,20,2,17,1,408,5
"05/2011",3744,32,2,11,4,1415,28,2,8,3,533,3
"06/2011",3937,18,10,24,4,1446,14,10,21,3,603,3
"07/2011",4232,26,5,24,2,1591,20,5,17,2,652,3
"08/2011",4109,25,1,28,4,1469,17,1,16,3,640,7
"09/2011",3824,32,5,13,2,1458,21,5,11,1,507,8
"10/2011",4194,31,6,27,7,1694,22,6,23,3,444,4
"11/2011",3692,38,8,24,,1588,30,8,21,,235,2
"12/2011",3624,20,3,19,,1564,18,3,12,,144,1
"01/2012",3330,31,2,18,4,1454,22,2,14,3,174,4
"02/2012",3189,23,2,22,,1390,20,2,19,,161,1
"03/2012",3678,24,2,15,1,1461,21,2,14,1,439,2
"04/2012",3548,26,2,23,,1435,22,2,20,,451,3
"05/2012",3966,36,2,23,,1479,23,2,19,,579,10
"06/2012",4131,45,2,29,2,1500,32,2,23,2,664,10
"07/2012",4164,24,4,30,1,1548,17,4,24,1,603,5
"08/2012",4258,31,6,22,3,1578,23,6,16,2,623,4
"09/2012",4074,36,2,25,3,1563,21,2,23,2,575,12
"10/2012",3997,30,7,27,2,1608,20,7,22,1,395,6
"11/2012",3853,23,,23,3,1624,18,,16,2,276,2
"12/2012",3772,32,6,23,6,1633,28,6,20,4,168,1
"01/2013",3416,25,4,20,,1424,20,4,15,,163,3
"02/2013",2845,23,2,17,3,1177,20,2,15,2,135,1
"03/2013",3552,41,3,20,4,1488,32,3,18,3,301,4
"04/2013",3464,30,4,24,3,1399,17,4,20,2,397,6
"05/2013",3817,35,2,24,1,1445,28,2,24,1,504,3
"06/2013",4009,34,4,17,5,1481,21,4,15,4,573,7
"07/2013",3933,42,,15,1,1453,34,,11,1,583,6
"08/2013",4304,34,3,18,3,1607,29,3,15,2,695,4
"09/2013",4106,39,2,29,3,1587,27,2,25,3,612,10
"10/2013",4135,33,6,38,2,1622,22,6,36,1,433,6
"11/2013",3803,29,5,41,2,1651,24,5,33,2,265,3
"12/2013",3717,32,2,29,2,1624,28,2,24,2,137,2
"01/2014",3260,26,1,24,3,1362,21,1,16,2,164,2
"02/2014",2802,21,3,16,,1192,16,3,11,,145,
"03/2014",3374,33,7,24,3,1379,23,7,17,2,279,3
"04/2014",3478,31,2,18,1,1395,21,2,13,,389,5
"05/2014",3891,35,6,30,2,1507,24,6,26,2,564,5
"06/2014",3887,40,4,25,4,1395,28,4,20,3,621,7
"07/2014",4011,30,4,25,1,1476,24,4,20,1,590,4
"08/2014",4175,49,7,23,4,1587,35,7,19,4,585,10
"09/2014",3897,36,6,29,3,1480,21,6,24,3,522,10
"10/2014",4242,46,6,20,4,1720,31,6,18,3,422,5
"11/2014",4044,40,,23,4,1715,30,,17,3,243,3
"12/2014",3889,40,4,29,2,1688,32,4,23,1,181,3
"01/2015",3584,38,1,27,2,1557,36,1,21,2,167,1
"02/2015",3057,25,1,19,5,1280,21,1,14,5,152,2
"03/2015",3721,36,3,35,2,1537,23,3,34,2,320,9
"04/2015",3741,40,3,30,1,1489,30,3,24,1,430,8
"05/2015",4333,33,7,33,2,1689,25,7,24,2,575,6
"06/2015",4260,44,7,27,2,1639,27,7,19,2,585,13
"07/2015",4628,39,3,27,2,1714,28,3,22,2,666,7
"08/2015",4630,41,4,26,4,1728,24,4,18,4,647,11
"09/2015",4380,41,2,24,6,1715,32,2,17,6,560,8
"10/2015",4610,51,6,33,3,1849,35,6,21,3,493,7
"11/2015",4212,46,3,38,3,1775,37,3,27,2,269,3
"12/2015",4322,51,2,39,5,1846,43,2,31,4,266,3
"01/2016",3483,33,8,35,5,1521,27,8,24,4,160,4
"02/2016",3668,39,6,35,1,1587,34,6,27,1,243,1
"03/2016",4065,33,5,26,5,1709,22,5,21,4,346,4
"04/2016",4172,41,5,37,3,1649,29,5,28,2,472,8
"05/2016",4580,44,5,27,4,1750,35,5,26,3,634,7
"06/2016",4721,47,7,31,5,1809,32,7,26,2,617,8
"07/2016",4583,55,7,35,2,1711,33,7,24,2,653,11
"08/2016",4794,44,7,34,,1812,34,6,23,,635,9
"09/2016",4758,44,2,32,4,1773,26,2,28,3,630,14
"10/2016",4933,49,6,42,3,1978,36,6,32,1,537,8
"11/2016",4570,40,4,34,3,1927,33,4,25,1,344,3
"12/2016",4387,53,3,37,,1853,42,3,28,,193,3
"01/2017",3988,36,2,57,1,1734,27,2,42,,195,
"02/2017",3487,35,2,29,2,1467,21,2,27,,271,7
"03/2017",4183,45,3,29,5,1791,27,3,24,4,328,4
"04/2017",4257,45,3,48,2,1718,32,3,32,2,517,7
"05/2017",4523,44,5,41,1,1764,32,5,29,,537,7
"06/2017",4752,48,4,37,1,1804,30,4,27,1,643,13
"07/2017",4980,57,5,43,5,1819,39,4,27,5,724,11
"08/2017",4515,49,3,26,3,1744,34,3,21,2,586,12
"09/2017",4874,51,2,39,6,1875,36,2,27,4,652,12
"10/2017",4726,37,1,31,4,1809,20,1,23,3,438,8
"11/2017",4441,50,11,37,2,1883,37,11,30,1,283,5
"12/2017",4402,48,6,43,4,1873,33,6,29,2,211,4
"01/2018",4056,46,2,46,2,1749,36,2,30,1,202,2
"02/2018",3547,37,1,35,,1446,29,1,28,,217,3
"03/2018",4084,37,7,33,3,1675,27,7,25,1,287,6
"04/2018",3985,38,4,32,2,1644,31,4,18,2,387,3
"05/2018",4598,43,5,40,3,1746,28,5,28,2,583,11
"06/2018",4648,44,9,36,4,1669,28,8,32,3,687,10
"07/2018",4610,41,2,42,3,1688,24,1,28,1,637,12
"08/2018",4648,35,1,29,4,1693,23,1,22,3,659,7
"09/2018",4600,56,4,27,1,1778,36,4,15,,572,11
"10/2018",4825,56,4,34,5,1846,41,4,25,4,450,7
"11/2018",4164,30,3,36,2,1692,24,2,25,,240,3
"12/2018",4107,45,5,38,2,1717,36,4,28,2,193,2
"01/2019",3875,38,6,37,2,1596,26,6,25,1,147,4
"02/2019",3344,24,4,31,2,1391,19,4,21,2,179,
"03/2019",3959,38,1,42,7,1623,30,1,25,3,340,2
"04/2019",4072,47,4,45,3,1538,32,4,31,,421,8
"05/2019",4487,53,11,57,1,1649,33,10,40,1,593,12
"06/2019",4535,55,3,43,6,1622,37,3,26,5,652,11
"07/2019",4592,53,3,34,2,1628,35,2,21,1,666,8
"08/2019",4699,47,6,31,1,1700,33,5,22,,677,7
"09/2019",4674,35,5,32,3,1645,17,4,28,2,619,11
"10/2019",4560,45,4,35,2,1767,32,3,23,1,397,8
"11/2019",4339,53,2,48,3,1731,38,2,34,3,247,4
"12/2019",4111,44,3,40,2,1696,34,3,33,2,176,2
"01/2020",3760,45,5,39,5,1539,28,4,23,3,165,2
"02/2020",3747,46,6,33,,1596,32,6,23,,212,4
"03/2020",3548,38,4,37,2,1441,22,4,29,,326,4
"04/2020",3077,36,2,22,5,1198,28,1,18,4,365,3
"05/2020",4267,47,4,34,6,1588,28,3,24,2,551,11
"06/2020",5186,50,7,46,5,1878,36,6,30,3,707,7
"07/2020",5251,72,4,62,8,1964,51,4,45,2,740,8
"08/2020",5426,73,8,50,7,1991,42,7,25,4,775,16
"09/2020",5230,65,5,40,3,1921,48,5,27,2,703,7
"10/2020",5480,65,7,55,4,2037,46,7,39,1,573,4
"11/2020",4784,56,7,55,5,1903,43,5,41,4,385,2
"12/2020",4516,41,8,41,5,1826,28,7,34,4,213,4



"Publisher:", "National Highway Traffic Safety Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."